,node,rank,time (inc),time,nid,name,module,callees,callers,path,group_path,component_path
0,"{'name': 'main', 'type': 'region'}",0,5882425.0,121489.0,0,23,23,"[19, 21]",[],[23],[23],[23]
1,"{'name': 'main', 'type': 'region'}",1,5902349.0,105528.0,0,23,23,"[19, 21]",[],[23],[23],[23]
2,"{'name': 'main', 'type': 'region'}",2,5898577.0,110799.0,0,23,23,"[19, 21]",[],[23],[23],[23]
3,"{'name': 'main', 'type': 'region'}",3,5882996.0,113830.0,0,23,23,"[19, 21]",[],[23],[23],[23]
4,"{'name': 'main', 'type': 'region'}",4,5905595.0,118953.0,0,23,23,"[19, 21]",[],[23],[23],[23]
5,"{'name': 'main', 'type': 'region'}",5,5877613.0,133256.0,0,23,23,"[19, 21]",[],[23],[23],[23]
6,"{'name': 'main', 'type': 'region'}",6,5870933.0,114035.0,0,23,23,"[19, 21]",[],[23],[23],[23]
7,"{'name': 'main', 'type': 'region'}",7,5898724.0,137098.0,0,23,23,"[19, 21]",[],[23],[23],[23]
8,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",0,5342467.0,528.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
9,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",1,5584419.0,499.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
10,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",2,5616143.0,3520.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
11,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",3,5445647.0,511.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
12,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",4,5571039.0,513.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
13,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",5,5402024.0,517.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
14,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",6,5333089.0,525.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
15,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",7,5761086.0,543.0,1,19,19,"[18, 14, 20]",[23],"[23, 19]",[23 19],[19]
16,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",0,137012.0,21493.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
17,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",1,24826.0,2745.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
18,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",2,24111.0,2758.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
19,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",3,40633.0,10194.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
20,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",4,24116.0,2321.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
21,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",5,29700.0,2828.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
22,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",6,68123.0,14203.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
23,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",7,24741.0,2970.0,9,14,14,"[1, 6]",[19],"[23, 19, 14]",[23 19 14],[14]
24,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",0,85866.0,85866.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
25,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",1,17558.0,17558.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
26,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",2,16695.0,16695.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
27,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",3,25658.0,25658.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
28,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",4,17195.0,17195.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
29,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",5,21244.0,21244.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
30,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",6,30246.0,30246.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
31,"{'name': 'CalcCourantConstraintForElems', 'type': 'region'}",7,16865.0,16865.0,10,1,1,[],[14],"[23, 19, 14, 1]",[23 19 14  1],[1]
32,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",0,29653.0,29653.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
33,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",1,4523.0,4523.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
34,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",2,4658.0,4658.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
35,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",3,4781.0,4781.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
36,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",4,4600.0,4600.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
37,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",5,5628.0,5628.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
38,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",6,23674.0,23674.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
39,"{'name': 'CalcHydroConstraintForElems', 'type': 'region'}",7,4906.0,4906.0,11,6,6,[],[14],"[23, 19, 14, 6]",[23 19 14  6],[6]
40,"{'name': 'LagrangeElements', 'type': 'region'}",0,2309608.0,663.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
41,"{'name': 'LagrangeElements', 'type': 'region'}",1,2567754.0,656.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
42,"{'name': 'LagrangeElements', 'type': 'region'}",2,2530570.0,923.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
43,"{'name': 'LagrangeElements', 'type': 'region'}",3,2286636.0,670.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
44,"{'name': 'LagrangeElements', 'type': 'region'}",4,2548862.0,675.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
45,"{'name': 'LagrangeElements', 'type': 'region'}",5,2294721.0,664.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
46,"{'name': 'LagrangeElements', 'type': 'region'}",6,2104106.0,628.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
47,"{'name': 'LagrangeElements', 'type': 'region'}",7,2532881.0,832.0,2,18,18,"[0, 22, 8, 12]",[19],"[23, 19, 18]",[23 19 18],[18]
48,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",0,676784.0,14072.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
49,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",1,865539.0,12107.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
50,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",2,976511.0,13643.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
51,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",3,644205.0,13171.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
52,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",4,913793.0,12643.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
53,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",5,576582.0,11505.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
54,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",6,464398.0,22583.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
55,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",7,824623.0,13609.0,3,0,0,[16],[18],"[23, 19, 18, 0]",[23 19 18  0],[0]
56,"{'name': 'EvalEOSForElems', 'type': 'region'}",0,662712.0,244008.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
57,"{'name': 'EvalEOSForElems', 'type': 'region'}",1,853432.0,261646.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
58,"{'name': 'EvalEOSForElems', 'type': 'region'}",2,962868.0,305500.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
59,"{'name': 'EvalEOSForElems', 'type': 'region'}",3,631034.0,235964.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
60,"{'name': 'EvalEOSForElems', 'type': 'region'}",4,901150.0,393451.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
61,"{'name': 'EvalEOSForElems', 'type': 'region'}",5,565077.0,190093.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
62,"{'name': 'EvalEOSForElems', 'type': 'region'}",6,441815.0,162868.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
63,"{'name': 'EvalEOSForElems', 'type': 'region'}",7,811014.0,244580.0,4,16,16,"[2, 13]",[0],"[23, 19, 18, 0, 16]",[23 19 18  0 16],[16]
64,"{'name': 'CalcEnergyForElems', 'type': 'region'}",0,410731.0,222116.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
65,"{'name': 'CalcEnergyForElems', 'type': 'region'}",1,583659.0,365612.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
66,"{'name': 'CalcEnergyForElems', 'type': 'region'}",2,647474.0,352694.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
67,"{'name': 'CalcEnergyForElems', 'type': 'region'}",3,387000.0,229266.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
68,"{'name': 'CalcEnergyForElems', 'type': 'region'}",4,498522.0,340746.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
69,"{'name': 'CalcEnergyForElems', 'type': 'region'}",5,367247.0,214592.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
70,"{'name': 'CalcEnergyForElems', 'type': 'region'}",6,270968.0,148668.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
71,"{'name': 'CalcEnergyForElems', 'type': 'region'}",7,554461.0,426729.0,5,2,2,[11],[16],"[23, 19, 18, 0, 16, 2]",[23 19 18  0 16  2],[2]
72,"{'name': 'CalcPressureForElems', 'type': 'region'}",0,188615.0,188615.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
73,"{'name': 'CalcPressureForElems', 'type': 'region'}",1,218047.0,218047.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
74,"{'name': 'CalcPressureForElems', 'type': 'region'}",2,294780.0,294780.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
75,"{'name': 'CalcPressureForElems', 'type': 'region'}",3,157734.0,157734.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
76,"{'name': 'CalcPressureForElems', 'type': 'region'}",4,157776.0,157776.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
77,"{'name': 'CalcPressureForElems', 'type': 'region'}",5,152655.0,152655.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
78,"{'name': 'CalcPressureForElems', 'type': 'region'}",6,122300.0,122300.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
79,"{'name': 'CalcPressureForElems', 'type': 'region'}",7,127732.0,127732.0,6,11,11,[],[2],"[23, 19, 18, 0, 16, 2, 11]",[23 19 18  0 16  2 11],[11]
80,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",0,7973.0,7973.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
81,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",1,8127.0,8127.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
82,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",2,9894.0,9894.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
83,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",3,8070.0,8070.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
84,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",4,9177.0,9177.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
85,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",5,7737.0,7737.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
86,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",6,7979.0,7979.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
87,"{'name': 'CalcSoundSpeedForElems', 'type': 'region'}",7,11973.0,11973.0,7,13,13,[],[16],"[23, 19, 18, 0, 16, 13]",[23 19 18  0 16 13],[13]
88,"{'name': 'CalcLagrangeElements', 'type': 'region'}",0,664457.0,21891.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
89,"{'name': 'CalcLagrangeElements', 'type': 'region'}",1,922430.0,25449.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
90,"{'name': 'CalcLagrangeElements', 'type': 'region'}",2,886384.0,33090.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
91,"{'name': 'CalcLagrangeElements', 'type': 'region'}",3,689860.0,22109.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
92,"{'name': 'CalcLagrangeElements', 'type': 'region'}",4,930739.0,23064.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
93,"{'name': 'CalcLagrangeElements', 'type': 'region'}",5,647215.0,23281.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
94,"{'name': 'CalcLagrangeElements', 'type': 'region'}",6,515700.0,22362.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
95,"{'name': 'CalcLagrangeElements', 'type': 'region'}",7,862827.0,22494.0,19,8,8,[7],[18],"[23, 19, 18, 8]",[23 19 18  8],[8]
96,"{'name': 'CalcKinematicsForElems', 'type': 'region'}",0,642566.0,642566.0,20,7,7,[],[8],"[23, 19, 18, 8, 7]",[23 19 18  8  7],[7]
